TEMPO, VELOCIDADE MÉDIA
1, 0.18
2, 0.36
3, 0.54
4, 0.54
5, 0.72
6, 1.08
7, 1.26
8, 1.44
9, 1.62
10, 1.80
11, 1.80
12, 1.26
13, 1.44
14, 1.44
15, 0.90
16, 1.44
17, 1.80
18, 2.34
19, 2.88
20, 3.06
21, 3.24
22, 2.52
23, 2.70
24, 1.80
25, 1.80
26, 2.52
27, 3.42
28, 3.96
29, 4.14
30, 3.60
31, 2.34
32, 3.78
33, 4.14
34, 4.14
35, 4.32
36, 2.88
37, 3.42
38, 2.52
39, 1.98
40, 1.98
41, 3.24
42, 4.32
43, 4.50
44, 5.40
45, 4.68
46, 5.58
47, 7.02
48, 7.02
49, 6.84
50, 3.78
51, 4.14
52, 3.60
53, 4.32
54, 3.96
55, 3.96
56, 5.04
57, 4.86
58, 5.76
59, 7.56
60, 8.64
61, 7.74
62, 6.84
63, 5.04
64, 3.96
65, 2.88
66, 3.78
67, 4.32
68, 5.40
69, 4.68
70, 4.32
71, 3.60
72, 4.86
73, 6.48
74, 8.46
75, 8.82
76, 9.00
77, 8.82
78, 8.28
79, 7.38
80, 8.28
81, 4.50
82, 3.06
83, 3.24
84, 4.14
85, 3.78
86, 4.50
87, 5.22
88, 6.48
89, 7.56
90, 7.92
91, 9.00
92, 8.28
93, 8.10
94, 8.10
95, 7.74
96, 5.04
97, 3.78
98, 2.34
99, 3.06
100, 2.70
101, 2.88
102, 2.16
103, 3.60
104, 5.94
105, 7.74
106, 8.64
107, 9.00
108, 9.00
109, 8.64
110, 8.82
111, 8.46
112, 7.02
113, 6.48
114, 3.42
115, 2.52
116, 3.42
117, 4.32
118, 3.06
119, 2.52
120, 4.68
121, 7.02
122, 6.48
123, 5.22
124, 4.50
125, 4.50
126, 6.84
127, 6.30
128, 2.52
129, 3.60
130, 2.70
131, 4.68
132, 3.60
133, 2.88
134, 2.52
135, 3.06
136, 2.16
137, 2.34
138, 2.88
139, 3.42
140, 2.70
141, 3.24
142, 3.78
143, 4.50
144, 6.48
145, 6.30
146, 6.66
147, 5.76
148, 5.58
149, 5.40
150, 6.48
151, 8.28
152, 6.12
153, 6.66
154, 4.86
155, 7.02
156, 6.66
157, 5.22
158, 5.04
159, 3.42
160, 5.22
161, 3.78
162, 7.02
163, 7.02
164, 5.40
165, 5.04
166, 4.86
167, 4.50
168, 3.06
169, 2.52
170, 2.34
171, 1.62
172, 1.98
173, 1.44
174, 1.26
175, 1.44
176, 2.16
177, 1.98
178, 3.24
179, 2.34
180, 2.34
181, 2.16
182, 2.16
183, 3.96
184, 2.70
185, 4.14
186, 3.96
187, 4.68
188, 3.60
189, 3.60
190, 3.24
191, 5.76
192, 3.78
193, 3.78
194, 4.86
195, 3.06
196, 2.70
197, 3.78
198, 2.88
199, 3.96
200, 3.24
201, 3.60
202, 3.42
203, 5.04
204, 4.14
205, 4.68
206, 3.24
207, 4.86
208, 6.66
209, 8.46
210, 8.64
211, 8.82
212, 7.20
213, 7.38
214, 7.02
215, 6.48
216, 6.48
217, 5.04
218, 4.32
219, 3.78
220, 3.60
221, 3.60
222, 5.04
223, 5.94
224, 7.38
225, 5.94
226, 6.48
227, 6.84
228, 4.68
229, 3.96
230, 5.04
231, 5.22
232, 3.24
233, 3.60
234, 3.06
235, 5.22
236, 5.40
237, 4.68
238, 2.70
239, 3.42
240, 4.14
241, 3.78
242, 5.40
243, 4.86
244, 5.94
245, 4.86
246, 4.68
247, 3.78
248, 5.22
249, 4.68
250, 6.12
251, 6.30
252, 7.20
253, 6.66
254, 5.94
255, 6.30
256, 6.84
257, 7.38
258, 8.10
259, 7.56
260, 6.30
261, 4.86
262, 3.42
263, 3.96
264, 3.60
265, 3.96
266, 3.06
267, 3.78
268, 3.06
269, 3.06
270, 3.60
271, 2.88
272, 2.88
273, 3.78
274, 5.58
275, 7.38
276, 8.28
277, 7.20
278, 7.02
279, 7.92
280, 7.74
281, 5.04
282, 3.78
283, 3.60
284, 4.32
285, 4.50
286, 2.88
287, 2.70
288, 3.96
289, 3.06
290, 4.14
291, 6.48
292, 6.48
