TEMPO, VELOCIDADE MÉDIA
1, 0.18
2, 0.36
3, 0.54
4, 0.72
5, 0.90
6, 1.08
7, 1.26
8, 1.44
9, 1.62
10, 1.80
11, 1.80
12, 1.44
13, 1.62
14, 1.80
15, 1.26
16, 1.80
17, 2.34
18, 2.52
19, 2.88
20, 3.24
21, 2.52
22, 2.70
23, 1.44
24, 1.80
25, 2.34
26, 2.70
27, 2.88
28, 3.06
29, 3.42
30, 3.60
31, 4.14
32, 4.50
33, 5.04
34, 4.68
35, 4.50
36, 3.60
37, 3.24
38, 2.34
39, 2.16
40, 2.88
41, 3.60
42, 4.32
43, 4.68
44, 5.22
45, 6.30
46, 6.30
47, 6.30
48, 5.04
49, 4.68
50, 3.96
51, 4.32
52, 3.96
53, 3.60
54, 3.06
55, 4.14
56, 4.14
57, 5.40
58, 6.12
59, 6.48
60, 7.02
61, 6.12
62, 6.12
63, 5.94
64, 6.12
65, 5.04
66, 5.04
67, 5.58
68, 6.30
69, 6.66
70, 4.86
71, 3.78
72, 4.50
73, 5.04
74, 5.58
75, 5.76
76, 5.94
77, 6.12
78, 6.12
79, 5.22
80, 4.14
81, 4.32
82, 4.32
83, 4.68
84, 5.04
85, 5.40
86, 4.68
87, 4.50
88, 4.86
89, 4.32
90, 5.04
91, 4.32
92, 4.68
93, 4.86
94, 4.68
95, 5.22
96, 5.22
97, 4.68
98, 4.32
99, 4.50
100, 4.32
101, 4.32
102, 2.34
103, 3.06
104, 3.96
105, 4.32
106, 4.86
107, 5.04
108, 5.40
109, 5.76
110, 5.76
111, 5.58
112, 5.22
113, 4.14
114, 4.50
115, 4.68
116, 4.68
117, 5.22
118, 5.58
119, 5.76
120, 6.84
121, 6.66
122, 6.84
123, 6.48
124, 6.84
125, 7.20
126, 7.20
127, 6.66
128, 5.58
129, 5.76
130, 5.58
131, 5.76
132, 5.94
133, 5.94
134, 5.94
135, 5.04
136, 5.40
137, 5.94
138, 6.12
139, 6.30
140, 6.84
141, 6.84
142, 6.12
143, 6.12
144, 5.76
145, 5.94
146, 4.86
147, 4.14
148, 3.96
149, 2.52
150, 2.70
151, 3.78
152, 4.50
153, 5.58
154, 6.30
155, 6.48
156, 6.48
157, 6.48
158, 7.38
159, 7.56
160, 7.56
161, 5.58
162, 4.14
163, 4.14
164, 4.50
165, 4.68
166, 5.40
167, 5.94
168, 6.30
169, 7.02
170, 7.56
171, 6.48
172, 6.84
173, 7.56
174, 8.10
175, 7.56
176, 6.48
177, 4.68
178, 5.22
179, 4.68
180, 3.60
181, 4.32
182, 5.22
183, 5.94
184, 5.94
185, 6.30
186, 5.76
187, 5.94
188, 6.66
189, 7.38
190, 7.38
191, 6.84
192, 6.48
193, 6.12
194, 5.76
195, 4.68
196, 4.86
197, 4.86
198, 5.58
199, 6.12
200, 5.04
201, 5.58
202, 5.58
203, 4.86
204, 5.04
205, 5.04
206, 4.86
207, 5.76
208, 5.58
209, 5.58
210, 5.22
211, 4.68
212, 4.50
213, 5.22
214, 5.94
215, 6.12
216, 6.12
217, 6.66
218, 6.48
219, 7.02
220, 6.48
221, 6.48
222, 6.12
223, 6.30
224, 5.58
225, 4.68
226, 4.68
227, 5.40
228, 5.76
229, 5.58
230, 5.58
231, 5.58
232, 6.12
233, 5.94
234, 6.66
235, 4.86
236, 3.60
237, 3.06
238, 3.42
239, 4.68
240, 5.94
241, 7.02
242, 6.48
243, 6.30
244, 6.66
245, 7.20
246, 7.56
247, 8.46
248, 7.56
249, 5.76
250, 5.40
251, 5.76
252, 3.96
253, 4.86
254, 4.50
255, 5.58
256, 6.66
257, 7.56
258, 7.74
259, 7.92
260, 8.10
261, 8.28
262, 8.10
263, 6.66
264, 6.30
265, 5.04
266, 5.04
267, 5.04
268, 3.60
269, 3.78
270, 4.68
271, 5.94
272, 6.12
273, 5.76
274, 6.48
275, 6.84
276, 7.20
277, 7.92
278, 6.84
279, 6.12
280, 5.40
281, 5.76
282, 4.68
283, 5.22
284, 5.04
285, 5.04
286, 5.94
287, 6.30
288, 6.48
289, 6.66
290, 7.20
291, 7.74
292, 8.10
