TEMPO, VELOCIDADE MÉDIA
1, 0.18
2, 0.36
3, 0.54
4, 0.72
5, 0.90
6, 1.08
7, 1.08
8, 1.44
9, 1.62
10, 1.80
11, 1.98
12, 1.26
13, 1.44
14, 1.44
15, 0.90
16, 1.44
17, 2.16
18, 2.52
19, 3.06
20, 3.24
21, 2.88
22, 2.52
23, 2.70
24, 1.26
25, 1.80
26, 2.34
27, 2.70
28, 2.52
29, 3.06
30, 3.42
31, 3.06
32, 3.78
33, 3.96
34, 4.32
35, 3.78
36, 3.60
37, 3.06
38, 2.52
39, 2.16
40, 1.62
41, 1.98
42, 2.34
43, 2.88
44, 2.88
45, 3.24
46, 2.70
47, 2.52
48, 3.06
49, 3.78
50, 4.50
51, 4.86
52, 5.04
53, 4.68
54, 5.04
55, 5.58
56, 4.86
57, 5.22
58, 4.68
59, 3.96
60, 3.24
61, 3.60
62, 3.78
63, 3.78
64, 4.68
65, 5.22
66, 5.58
67, 5.94
68, 5.76
69, 5.58
70, 5.40
71, 4.68
72, 4.32
73, 5.04
74, 4.86
75, 5.40
76, 5.22
77, 4.68
78, 4.14
79, 4.50
80, 4.68
81, 5.40
82, 6.12
83, 7.02
84, 7.56
85, 6.66
86, 6.66
87, 5.58
88, 6.12
89, 6.48
90, 5.94
91, 6.12
92, 5.58
93, 5.04
94, 5.22
95, 4.50
96, 5.22
97, 6.12
98, 5.94
99, 6.12
100, 7.02
101, 7.38
102, 7.38
103, 7.38
104, 6.66
105, 5.58
106, 5.58
107, 5.04
108, 5.40
109, 4.86
110, 4.32
111, 4.86
112, 5.76
113, 6.30
114, 6.84
115, 6.84
116, 6.66
117, 7.74
118, 7.20
119, 6.66
120, 5.22
121, 5.40
122, 4.86
123, 5.04
124, 4.68
125, 4.14
126, 4.32
127, 5.22
128, 6.30
129, 7.20
130, 7.74
131, 7.92
132, 7.92
133, 7.92
134, 7.56
135, 6.84
136, 4.68
137, 5.04
138, 4.86
139, 4.50
140, 3.06
141, 4.14
142, 5.04
143, 5.76
144, 6.66
145, 7.56
146, 7.56
147, 8.28
148, 8.10
149, 8.28
150, 7.56
151, 5.94
152, 5.22
153, 4.50
154, 4.68
155, 4.32
156, 3.60
157, 4.50
158, 4.50
159, 5.04
160, 6.12
161, 6.84
162, 7.02
163, 7.56
164, 7.20
165, 7.02
166, 7.02
167, 5.40
168, 5.58
169, 5.04
170, 4.14
171, 4.14
172, 4.50
173, 3.78
174, 4.14
175, 5.22
176, 6.12
177, 7.02
178, 7.74
179, 7.74
180, 8.10
181, 7.74
182, 7.74
183, 6.84
184, 6.66
185, 6.12
186, 5.76
187, 4.68
188, 4.14
189, 5.04
190, 5.22
191, 5.58
192, 6.12
193, 5.94
194, 5.94
195, 6.66
196, 7.38
197, 7.56
198, 6.48
199, 6.12
200, 6.30
201, 6.48
202, 6.66
203, 5.22
204, 5.40
205, 5.76
206, 6.48
207, 6.84
208, 6.48
209, 7.38
210, 6.84
211, 6.30
212, 6.66
213, 5.58
214, 5.94
215, 6.48
216, 6.12
217, 6.84
218, 5.76
219, 4.50
220, 5.04
221, 5.76
222, 5.04
223, 5.58
224, 5.94
225, 6.12
226, 5.94
227, 6.12
228, 5.76
229, 5.04
230, 5.76
231, 6.30
232, 7.02
233, 7.38
234, 5.58
235, 6.12
236, 5.94
237, 6.84
238, 6.84
239, 5.58
240, 5.76
241, 6.12
242, 6.48
243, 4.86
244, 4.68
245, 4.86
246, 5.40
247, 6.30
248, 7.02
249, 6.66
250, 6.48
251, 6.84
252, 7.56
253, 7.92
254, 6.66
255, 7.02
256, 6.12
257, 6.48
258, 5.22
259, 3.60
260, 3.78
261, 4.68
262, 4.86
263, 5.76
264, 5.94
265, 5.40
266, 6.12
267, 6.84
268, 7.20
269, 6.12
270, 5.40
271, 5.94
272, 6.30
273, 5.76
274, 3.96
275, 4.14
276, 4.14
277, 4.32
278, 4.86
279, 5.40
280, 5.94
281, 5.94
282, 6.48
283, 6.48
284, 7.20
285, 6.48
286, 5.40
287, 5.76
288, 5.58
289, 5.22
290, 4.86
291, 5.22
292, 5.22
